id_city,city_name,department_name,measurement
15,Inirida,Guainia,37.3
5,Cartagena,Bolivar,30.8
27,Bucaramanga,Santander,22.7
23,Mocoa,Putumayo,40.1
25,Pereira,Risaralda,1.5
19,Santa Marta,Magdalena,20.9
3,Arauca,Arauca,20.2
7,Manizales,Caldas,22.9
13,Monteria,Cordoba,11.0
15,Inirida,Guainia,8.8
14,Bogota,Cundinamarca,27.4
29,Ibague,Tolima,32.3
30,Cali,Valle del Cauca,29.6
6,Tunja,Boyaca,30.4
14,Bogota,Cundinamarca,10.8
24,Armenia,Quindio,28.3
23,Mocoa,Putumayo,10.3
22,Cucuta,Norte de Santander,30.8
8,Florencia,Caqueta,8.6
2,Medellin,Antioquia,34.5
24,Armenia,Quindio,21.8
27,Bucaramanga,Santander,3.1
25,Pereira,Risaralda,25.3
1,Leticia,Amazonas,21.5
32,Puerto Carreno,Vichada,42.7
27,Bucaramanga,Santander,39.5
12,Quibdo,Choco,14.6
6,Tunja,Boyaca,15.2
30,Cali,Valle del Cauca,22.9
9,Yopal,Casanare,47.1
8,Florencia,Caqueta,20.4
8,Florencia,Caqueta,15.0
25,Pereira,Risaralda,44.5
21,Pasto,Narino,14.3
6,Tunja,Boyaca,4.2
32,Puerto Carreno,Vichada,21.5
15,Inirida,Guainia,15.2
21,Pasto,Narino,45.9
21,Pasto,Narino,42.2
25,Pereira,Risaralda,12.1
12,Quibdo,Choco,38.3
23,Mocoa,Putumayo,41.8
7,Manizales,Caldas,38.9
9,Yopal,Casanare,49.8
4,Barranquilla,Atlantico,10.1
15,Inirida,Guainia,40.9
1,Leticia,Amazonas,33.0
8,Florencia,Caqueta,43.6
7,Manizales,Caldas,47.4
11,Valledupar,Cesar,16.2
29,Ibague,Tolima,15.9
23,Mocoa,Putumayo,1.7
9,Yopal,Casanare,7.5
18,Riohacha,La Guajira,28.8
12,Quibdo,Choco,19.1
27,Bucaramanga,Santander,3.0
8,Florencia,Caqueta,3.3
18,Riohacha,La Guajira,0.0
15,Inirida,Guainia,28.0
27,Bucaramanga,Santander,24.4
16,San Jose del Guaviare,Guaviare,26.4
18,Riohacha,La Guajira,12.9
22,Cucuta,Norte de Santander,39.2
13,Monteria,Cordoba,34.9
23,Mocoa,Putumayo,41.9
5,Cartagena,Bolivar,46.9
19,Santa Marta,Magdalena,27.3
20,Villavicencio,Meta,3.1
8,Florencia,Caqueta,10.5
1,Leticia,Amazonas,49.9
30,Cali,Valle del Cauca,7.1
25,Pereira,Risaralda,42.4
15,Inirida,Guainia,12.1
29,Ibague,Tolima,28.9
5,Cartagena,Bolivar,32.4
13,Monteria,Cordoba,4.2
3,Arauca,Arauca,34.8
19,Santa Marta,Magdalena,37.1
31,Mitu,Vaupes,23.0
7,Manizales,Caldas,3.3
26,San Andres,San Andres y Providencia,9.4
21,Pasto,Narino,16.8
1,Leticia,Amazonas,50.3
25,Pereira,Risaralda,16.9
18,Riohacha,La Guajira,13.3
9,Yopal,Casanare,12.6
11,Valledupar,Cesar,1.7
29,Ibague,Tolima,47.5
24,Armenia,Quindio,25.5
21,Pasto,Narino,42.1
16,San Jose del Guaviare,Guaviare,10.8
30,Cali,Valle del Cauca,21.7
9,Yopal,Casanare,7.8
5,Cartagena,Bolivar,15.0
11,Valledupar,Cesar,38.5
16,San Jose del Guaviare,Guaviare,40.1
7,Manizales,Caldas,39.2
8,Florencia,Caqueta,40.3
8,Florencia,Caqueta,0.5
27,Bucaramanga,Santander,22.7
27,Bucaramanga,Santander,4.5
10,Popayan,Cauca,35.2
15,Inirida,Guainia,43.7
28,Sincelejo,Sucre,48.6
22,Cucuta,Norte de Santander,16.2
20,Villavicencio,Meta,37.4
3,Arauca,Arauca,25.9
3,Arauca,Arauca,28.6
27,Bucaramanga,Santander,8.1
7,Manizales,Caldas,28.8
30,Cali,Valle del Cauca,10.4
9,Yopal,Casanare,33.3
14,Bogota,Cundinamarca,7.2
24,Armenia,Quindio,15.8
18,Riohacha,La Guajira,26.1
16,San Jose del Guaviare,Guaviare,20.9
5,Cartagena,Bolivar,12.0
14,Bogota,Cundinamarca,36.3
29,Ibague,Tolima,15.1
16,San Jose del Guaviare,Guaviare,34.1
12,Quibdo,Choco,30.7
31,Mitu,Vaupes,42.4
24,Armenia,Quindio,37.2
30,Cali,Valle del Cauca,19.3
7,Manizales,Caldas,42.5
32,Puerto Carreno,Vichada,39.2
12,Quibdo,Choco,11.1
28,Sincelejo,Sucre,8.4
30,Cali,Valle del Cauca,45.2
11,Valledupar,Cesar,26.8
4,Barranquilla,Atlantico,32.9
15,Inirida,Guainia,12.6
25,Pereira,Risaralda,2.5
10,Popayan,Cauca,32.4
23,Mocoa,Putumayo,43.4
13,Monteria,Cordoba,13.6
12,Quibdo,Choco,11.1
22,Cucuta,Norte de Santander,35.1
26,San Andres,San Andres y Providencia,39.1
3,Arauca,Arauca,29.6
11,Valledupar,Cesar,32.5
12,Quibdo,Choco,8.2
6,Tunja,Boyaca,23.5
8,Florencia,Caqueta,28.2
7,Manizales,Caldas,13.5
31,Mitu,Vaupes,45.2
9,Yopal,Casanare,47.1
2,Medellin,Antioquia,0.3
19,Santa Marta,Magdalena,13.9
5,Cartagena,Bolivar,6.4
18,Riohacha,La Guajira,2.0
10,Popayan,Cauca,0.3
8,Florencia,Caqueta,19.7
23,Mocoa,Putumayo,8.8
25,Pereira,Risaralda,11.1
11,Valledupar,Cesar,44.8
10,Popayan,Cauca,34.4
12,Quibdo,Choco,39.5
21,Pasto,Narino,22.2
11,Valledupar,Cesar,43.4
27,Bucaramanga,Santander,1.6
32,Puerto Carreno,Vichada,16.7
29,Ibague,Tolima,46.9
32,Puerto Carreno,Vichada,1.3
31,Mitu,Vaupes,14.4
15,Inirida,Guainia,30.5
17,Neiva,Huila,25.8
25,Pereira,Risaralda,44.4
10,Popayan,Cauca,13.3
8,Florencia,Caqueta,14.3
27,Bucaramanga,Santander,44.0
6,Tunja,Boyaca,20.8
21,Pasto,Narino,2.5
10,Popayan,Cauca,17.2
7,Manizales,Caldas,25.3
31,Mitu,Vaupes,6.5
31,Mitu,Vaupes,39.5
1,Leticia,Amazonas,18.4
15,Inirida,Guainia,36.0
30,Cali,Valle del Cauca,38.8
11,Valledupar,Cesar,30.8
18,Riohacha,La Guajira,41.0
21,Pasto,Narino,48.9
25,Pereira,Risaralda,43.8
25,Pereira,Risaralda,28.0
19,Santa Marta,Magdalena,17.0
26,San Andres,San Andres y Providencia,2.9
19,Santa Marta,Magdalena,10.1
13,Monteria,Cordoba,22.4
18,Riohacha,La Guajira,38.4
17,Neiva,Huila,44.4
22,Cucuta,Norte de Santander,29.3
18,Riohacha,La Guajira,8.5
27,Bucaramanga,Santander,45.5
17,Neiva,Huila,31.7
9,Yopal,Casanare,32.1
6,Tunja,Boyaca,21.9
4,Barranquilla,Atlantico,47.7
12,Quibdo,Choco,32.1
5,Cartagena,Bolivar,12.3
28,Sincelejo,Sucre,21.8
17,Neiva,Huila,38.0
19,Santa Marta,Magdalena,16.9
3,Arauca,Arauca,11.9
3,Arauca,Arauca,35.4
1,Leticia,Amazonas,48.6
25,Pereira,Risaralda,34.7
1,Leticia,Amazonas,0.7
7,Manizales,Caldas,25.1
30,Cali,Valle del Cauca,36.2
12,Quibdo,Choco,48.7
12,Quibdo,Choco,8.9
29,Ibague,Tolima,29.4
4,Barranquilla,Atlantico,18.8
29,Ibague,Tolima,18.0
32,Puerto Carreno,Vichada,41.6
9,Yopal,Casanare,38.8
17,Neiva,Huila,48.1
29,Ibague,Tolima,44.8
31,Mitu,Vaupes,28.2
11,Valledupar,Cesar,16.7
23,Mocoa,Putumayo,20.5
1,Leticia,Amazonas,49.5
4,Barranquilla,Atlantico,29.5
31,Mitu,Vaupes,25.0
18,Riohacha,La Guajira,26.4
25,Pereira,Risaralda,36.0
29,Ibague,Tolima,45.9
13,Monteria,Cordoba,17.9
18,Riohacha,La Guajira,5.6
21,Pasto,Narino,48.7
16,San Jose del Guaviare,Guaviare,26.3
29,Ibague,Tolima,11.7
22,Cucuta,Norte de Santander,18.4
26,San Andres,San Andres y Providencia,34.5
20,Villavicencio,Meta,20.1
10,Popayan,Cauca,49.9
27,Bucaramanga,Santander,18.4
8,Florencia,Caqueta,18.1
28,Sincelejo,Sucre,30.2
26,San Andres,San Andres y Providencia,47.9
28,Sincelejo,Sucre,18.2
1,Leticia,Amazonas,24.8
28,Sincelejo,Sucre,32.7
10,Popayan,Cauca,29.7
20,Villavicencio,Meta,18.0
4,Barranquilla,Atlantico,50.3
18,Riohacha,La Guajira,31.7
7,Manizales,Caldas,20.0
31,Mitu,Vaupes,37.0
19,Santa Marta,Magdalena,31.6
28,Sincelejo,Sucre,50.1
7,Manizales,Caldas,26.9
25,Pereira,Risaralda,46.6
25,Pereira,Risaralda,33.0
27,Bucaramanga,Santander,14.6
20,Villavicencio,Meta,9.3
6,Tunja,Boyaca,30.7
5,Cartagena,Bolivar,22.6
28,Sincelejo,Sucre,48.3
7,Manizales,Caldas,32.3
27,Bucaramanga,Santander,11.7
21,Pasto,Narino,23.9
5,Cartagena,Bolivar,31.0
25,Pereira,Risaralda,23.3
20,Villavicencio,Meta,12.8
25,Pereira,Risaralda,24.6
17,Neiva,Huila,13.4
30,Cali,Valle del Cauca,26.7
3,Arauca,Arauca,28.7
20,Villavicencio,Meta,47.2
18,Riohacha,La Guajira,26.0
29,Ibague,Tolima,9.2
10,Popayan,Cauca,46.1
23,Mocoa,Putumayo,37.0
1,Leticia,Amazonas,32.9
27,Bucaramanga,Santander,19.0
15,Inirida,Guainia,43.9
20,Villavicencio,Meta,18.1
9,Yopal,Casanare,0.3
17,Neiva,Huila,8.6
5,Cartagena,Bolivar,6.3
11,Valledupar,Cesar,38.3
7,Manizales,Caldas,33.6
26,San Andres,San Andres y Providencia,28.8
23,Mocoa,Putumayo,43.5
10,Popayan,Cauca,25.1
25,Pereira,Risaralda,23.4
12,Quibdo,Choco,10.7
14,Bogota,Cundinamarca,48.9
14,Bogota,Cundinamarca,7.4
18,Riohacha,La Guajira,47.8
8,Florencia,Caqueta,12.1
10,Popayan,Cauca,6.7
8,Florencia,Caqueta,19.9
1,Leticia,Amazonas,22.1
8,Florencia,Caqueta,25.1
12,Quibdo,Choco,36.8
29,Ibague,Tolima,36.1
17,Neiva,Huila,38.3
3,Arauca,Arauca,40.6
28,Sincelejo,Sucre,5.5
11,Valledupar,Cesar,44.6
10,Popayan,Cauca,25.8
32,Puerto Carreno,Vichada,13.1
5,Cartagena,Bolivar,44.4
22,Cucuta,Norte de Santander,49.2
6,Tunja,Boyaca,11.2
9,Yopal,Casanare,2.1
26,San Andres,San Andres y Providencia,20.0
16,San Jose del Guaviare,Guaviare,4.4
1,Leticia,Amazonas,20.5
6,Tunja,Boyaca,9.4
22,Cucuta,Norte de Santander,24.5
3,Arauca,Arauca,28.4
3,Arauca,Arauca,17.9
12,Quibdo,Choco,28.3
15,Inirida,Guainia,48.6
17,Neiva,Huila,13.9
24,Armenia,Quindio,20.7
1,Leticia,Amazonas,30.5
13,Monteria,Cordoba,34.3
18,Riohacha,La Guajira,50.0
17,Neiva,Huila,26.2
4,Barranquilla,Atlantico,7.6
32,Puerto Carreno,Vichada,4.0
8,Florencia,Caqueta,47.5
1,Leticia,Amazonas,27.0
32,Puerto Carreno,Vichada,10.8
21,Pasto,Narino,21.8
27,Bucaramanga,Santander,1.7
22,Cucuta,Norte de Santander,12.9
22,Cucuta,Norte de Santander,27.2
24,Armenia,Quindio,33.6
30,Cali,Valle del Cauca,28.3
32,Puerto Carreno,Vichada,45.6
5,Cartagena,Bolivar,12.0
14,Bogota,Cundinamarca,47.0
30,Cali,Valle del Cauca,21.5
5,Cartagena,Bolivar,47.3
22,Cucuta,Norte de Santander,2.2
1,Leticia,Amazonas,34.7
32,Puerto Carreno,Vichada,10.4
3,Arauca,Arauca,18.5
4,Barranquilla,Atlantico,41.9
7,Manizales,Caldas,1.4
30,Cali,Valle del Cauca,6.7
3,Arauca,Arauca,29.1
2,Medellin,Antioquia,43.8
8,Florencia,Caqueta,35.9
18,Riohacha,La Guajira,12.4
11,Valledupar,Cesar,44.1
11,Valledupar,Cesar,39.0
3,Arauca,Arauca,10.9
6,Tunja,Boyaca,16.6
19,Santa Marta,Magdalena,0.4
10,Popayan,Cauca,29.1
21,Pasto,Narino,19.8
1,Leticia,Amazonas,7.9
26,San Andres,San Andres y Providencia,49.5
12,Quibdo,Choco,17.0
13,Monteria,Cordoba,15.0
26,San Andres,San Andres y Providencia,5.9
26,San Andres,San Andres y Providencia,46.5
32,Puerto Carreno,Vichada,47.1
6,Tunja,Boyaca,33.0
7,Manizales,Caldas,7.3
3,Arauca,Arauca,30.9
4,Barranquilla,Atlantico,38.5
4,Barranquilla,Atlantico,38.9
3,Arauca,Arauca,41.5
19,Santa Marta,Magdalena,30.1
18,Riohacha,La Guajira,10.1
13,Monteria,Cordoba,25.4
19,Santa Marta,Magdalena,29.3
20,Villavicencio,Meta,38.9
19,Santa Marta,Magdalena,6.0
14,Bogota,Cundinamarca,36.7
10,Popayan,Cauca,25.6
27,Bucaramanga,Santander,8.1
7,Manizales,Caldas,47.8
8,Florencia,Caqueta,35.1
23,Mocoa,Putumayo,43.0
20,Villavicencio,Meta,20.9
32,Puerto Carreno,Vichada,10.8
10,Popayan,Cauca,20.4
2,Medellin,Antioquia,11.6
1,Leticia,Amazonas,15.8
9,Yopal,Casanare,39.9
2,Medellin,Antioquia,27.9
23,Mocoa,Putumayo,8.2
24,Armenia,Quindio,4.9
19,Santa Marta,Magdalena,19.4
8,Florencia,Caqueta,26.9
13,Monteria,Cordoba,1.7
13,Monteria,Cordoba,43.0
7,Manizales,Caldas,44.4
9,Yopal,Casanare,27.6
17,Neiva,Huila,0.3
12,Quibdo,Choco,20.6
11,Valledupar,Cesar,11.7
4,Barranquilla,Atlantico,11.7
26,San Andres,San Andres y Providencia,42.7
17,Neiva,Huila,41.1
18,Riohacha,La Guajira,12.6
9,Yopal,Casanare,2.3
1,Leticia,Amazonas,31.9
6,Tunja,Boyaca,7.4
20,Villavicencio,Meta,12.2
32,Puerto Carreno,Vichada,30.6
27,Bucaramanga,Santander,31.5
1,Leticia,Amazonas,41.7
18,Riohacha,La Guajira,47.2
21,Pasto,Narino,1.4
9,Yopal,Casanare,10.6
14,Bogota,Cundinamarca,5.1
9,Yopal,Casanare,3.1
18,Riohacha,La Guajira,30.1
20,Villavicencio,Meta,28.3
29,Ibague,Tolima,45.9
27,Bucaramanga,Santander,48.5
32,Puerto Carreno,Vichada,47.2
6,Tunja,Boyaca,29.3
18,Riohacha,La Guajira,39.3
21,Pasto,Narino,3.8
5,Cartagena,Bolivar,37.5
3,Arauca,Arauca,42.1
29,Ibague,Tolima,45.2
24,Armenia,Quindio,21.5
24,Armenia,Quindio,36.8
5,Cartagena,Bolivar,42.4
19,Santa Marta,Magdalena,45.3
3,Arauca,Arauca,42.0
20,Villavicencio,Meta,30.9
24,Armenia,Quindio,40.0
31,Mitu,Vaupes,12.4
6,Tunja,Boyaca,32.0
11,Valledupar,Cesar,4.2
9,Yopal,Casanare,14.2
12,Quibdo,Choco,37.4
16,San Jose del Guaviare,Guaviare,0.0
13,Monteria,Cordoba,3.8
8,Florencia,Caqueta,49.7
8,Florencia,Caqueta,27.0
19,Santa Marta,Magdalena,38.0
1,Leticia,Amazonas,40.1
5,Cartagena,Bolivar,3.6
13,Monteria,Cordoba,36.6
25,Pereira,Risaralda,4.2
16,San Jose del Guaviare,Guaviare,29.3
14,Bogota,Cundinamarca,35.6
27,Bucaramanga,Santander,49.5
13,Monteria,Cordoba,43.6
6,Tunja,Boyaca,7.1
7,Manizales,Caldas,37.0
1,Leticia,Amazonas,42.1
3,Arauca,Arauca,7.2
7,Manizales,Caldas,39.5
22,Cucuta,Norte de Santander,13.0
18,Riohacha,La Guajira,46.0
28,Sincelejo,Sucre,15.7
3,Arauca,Arauca,48.8
10,Popayan,Cauca,35.3
5,Cartagena,Bolivar,32.2
2,Medellin,Antioquia,15.7
19,Santa Marta,Magdalena,38.1
5,Cartagena,Bolivar,38.6
9,Yopal,Casanare,17.6
25,Pereira,Risaralda,46.8
3,Arauca,Arauca,33.5
7,Manizales,Caldas,9.8
10,Popayan,Cauca,37.1
13,Monteria,Cordoba,12.0
18,Riohacha,La Guajira,42.7
5,Cartagena,Bolivar,44.1
13,Monteria,Cordoba,29.5
16,San Jose del Guaviare,Guaviare,5.2
5,Cartagena,Bolivar,1.3
24,Armenia,Quindio,39.0
27,Bucaramanga,Santander,10.3
1,Leticia,Amazonas,32.2
15,Inirida,Guainia,27.5
32,Puerto Carreno,Vichada,4.3
1,Leticia,Amazonas,22.2
6,Tunja,Boyaca,13.0
31,Mitu,Vaupes,32.6
18,Riohacha,La Guajira,15.7
29,Ibague,Tolima,10.5
11,Valledupar,Cesar,46.3
17,Neiva,Huila,25.3
17,Neiva,Huila,6.7
5,Cartagena,Bolivar,10.9
25,Pereira,Risaralda,31.2
8,Florencia,Caqueta,30.7
14,Bogota,Cundinamarca,18.1
27,Bucaramanga,Santander,7.7
27,Bucaramanga,Santander,29.7
9,Yopal,Casanare,17.3
3,Arauca,Arauca,36.4
28,Sincelejo,Sucre,15.4
6,Tunja,Boyaca,27.8
25,Pereira,Risaralda,17.8
17,Neiva,Huila,14.0
19,Santa Marta,Magdalena,36.1
13,Monteria,Cordoba,11.3
27,Bucaramanga,Santander,7.9
13,Monteria,Cordoba,11.3
16,San Jose del Guaviare,Guaviare,20.4
21,Pasto,Narino,19.9
7,Manizales,Caldas,2.6
7,Manizales,Caldas,49.4
28,Sincelejo,Sucre,37.7
9,Yopal,Casanare,20.4
6,Tunja,Boyaca,17.1
16,San Jose del Guaviare,Guaviare,1.7
11,Valledupar,Cesar,33.5
8,Florencia,Caqueta,38.6
30,Cali,Valle del Cauca,37.0
25,Pereira,Risaralda,32.5
24,Armenia,Quindio,11.7
28,Sincelejo,Sucre,1.1
24,Armenia,Quindio,23.3
32,Puerto Carreno,Vichada,10.7
3,Arauca,Arauca,9.7
2,Medellin,Antioquia,25.0
12,Quibdo,Choco,43.4
29,Ibague,Tolima,45.3
16,San Jose del Guaviare,Guaviare,48.4
1,Leticia,Amazonas,49.2
25,Pereira,Risaralda,37.3
14,Bogota,Cundinamarca,0.2
25,Pereira,Risaralda,22.7
5,Cartagena,Bolivar,39.7
25,Pereira,Risaralda,9.0
1,Leticia,Amazonas,39.7
3,Arauca,Arauca,34.9
10,Popayan,Cauca,15.9
4,Barranquilla,Atlantico,7.9
2,Medellin,Antioquia,42.5
22,Cucuta,Norte de Santander,45.2
28,Sincelejo,Sucre,36.9
18,Riohacha,La Guajira,23.0
17,Neiva,Huila,26.2
27,Bucaramanga,Santander,13.3
21,Pasto,Narino,38.8
30,Cali,Valle del Cauca,8.5
27,Bucaramanga,Santander,18.7
9,Yopal,Casanare,23.8
15,Inirida,Guainia,16.7
7,Manizales,Caldas,9.4
22,Cucuta,Norte de Santander,42.9
1,Leticia,Amazonas,36.3
24,Armenia,Quindio,44.0
3,Arauca,Arauca,36.9
20,Villavicencio,Meta,34.7
5,Cartagena,Bolivar,0.3
31,Mitu,Vaupes,11.2
11,Valledupar,Cesar,38.4
1,Leticia,Amazonas,46.1
21,Pasto,Narino,29.9
2,Medellin,Antioquia,44.3
26,San Andres,San Andres y Providencia,48.7
26,San Andres,San Andres y Providencia,18.0
14,Bogota,Cundinamarca,5.0
17,Neiva,Huila,12.4
4,Barranquilla,Atlantico,22.8
18,Riohacha,La Guajira,14.9
3,Arauca,Arauca,28.8
32,Puerto Carreno,Vichada,43.4
6,Tunja,Boyaca,9.0
12,Quibdo,Choco,32.3
17,Neiva,Huila,28.0
10,Popayan,Cauca,44.6
4,Barranquilla,Atlantico,1.1
21,Pasto,Narino,36.5
5,Cartagena,Bolivar,20.8
8,Florencia,Caqueta,48.1
23,Mocoa,Putumayo,25.0
13,Monteria,Cordoba,9.0
14,Bogota,Cundinamarca,12.8
23,Mocoa,Putumayo,21.7
23,Mocoa,Putumayo,35.4
2,Medellin,Antioquia,17.3
17,Neiva,Huila,2.6
6,Tunja,Boyaca,14.9
6,Tunja,Boyaca,26.6
26,San Andres,San Andres y Providencia,47.7
22,Cucuta,Norte de Santander,27.3
21,Pasto,Narino,26.2
31,Mitu,Vaupes,9.7
19,Santa Marta,Magdalena,14.2
4,Barranquilla,Atlantico,20.3
25,Pereira,Risaralda,18.2
4,Barranquilla,Atlantico,40.3
32,Puerto Carreno,Vichada,30.9
8,Florencia,Caqueta,26.3
3,Arauca,Arauca,13.8
2,Medellin,Antioquia,39.3
6,Tunja,Boyaca,34.6
31,Mitu,Vaupes,16.7
1,Leticia,Amazonas,39.4
19,Santa Marta,Magdalena,19.4
8,Florencia,Caqueta,21.2
29,Ibague,Tolima,25.5
7,Manizales,Caldas,16.2
10,Popayan,Cauca,47.0
29,Ibague,Tolima,23.3
27,Bucaramanga,Santander,46.1
32,Puerto Carreno,Vichada,7.8
10,Popayan,Cauca,6.3
29,Ibague,Tolima,28.3
10,Popayan,Cauca,40.8
21,Pasto,Narino,36.0
29,Ibague,Tolima,18.8
16,San Jose del Guaviare,Guaviare,16.7
12,Quibdo,Choco,29.4
27,Bucaramanga,Santander,42.4
21,Pasto,Narino,1.6
28,Sincelejo,Sucre,47.0
24,Armenia,Quindio,37.9
19,Santa Marta,Magdalena,34.5
17,Neiva,Huila,18.1
22,Cucuta,Norte de Santander,1.3
17,Neiva,Huila,21.0
8,Florencia,Caqueta,48.7
24,Armenia,Quindio,7.3
30,Cali,Valle del Cauca,23.4
29,Ibague,Tolima,39.3
7,Manizales,Caldas,41.9
22,Cucuta,Norte de Santander,5.4
9,Yopal,Casanare,40.3
22,Cucuta,Norte de Santander,34.4
32,Puerto Carreno,Vichada,45.1
29,Ibague,Tolima,27.5
25,Pereira,Risaralda,41.8
32,Puerto Carreno,Vichada,31.1
11,Valledupar,Cesar,14.7
28,Sincelejo,Sucre,12.4
5,Cartagena,Bolivar,22.7
19,Santa Marta,Magdalena,25.6
32,Puerto Carreno,Vichada,19.7
29,Ibague,Tolima,8.7
31,Mitu,Vaupes,44.9
27,Bucaramanga,Santander,3.7
27,Bucaramanga,Santander,25.7
26,San Andres,San Andres y Providencia,34.4
31,Mitu,Vaupes,6.2
15,Inirida,Guainia,26.9
1,Leticia,Amazonas,15.8
18,Riohacha,La Guajira,2.8
31,Mitu,Vaupes,20.9
22,Cucuta,Norte de Santander,18.3
19,Santa Marta,Magdalena,38.5
3,Arauca,Arauca,42.0
6,Tunja,Boyaca,32.1
13,Monteria,Cordoba,32.7
4,Barranquilla,Atlantico,2.5
2,Medellin,Antioquia,32.0
7,Manizales,Caldas,23.6
29,Ibague,Tolima,21.5
5,Cartagena,Bolivar,25.3
25,Pereira,Risaralda,41.4
28,Sincelejo,Sucre,46.6
13,Monteria,Cordoba,23.4
27,Bucaramanga,Santander,35.3
26,San Andres,San Andres y Providencia,11.1
22,Cucuta,Norte de Santander,5.4
21,Pasto,Narino,35.6
6,Tunja,Boyaca,1.2
10,Popayan,Cauca,30.9
10,Popayan,Cauca,41.9
1,Leticia,Amazonas,3.2
22,Cucuta,Norte de Santander,35.4
20,Villavicencio,Meta,27.0
19,Santa Marta,Magdalena,41.9
3,Arauca,Arauca,39.6
30,Cali,Valle del Cauca,5.3
32,Puerto Carreno,Vichada,29.9
16,San Jose del Guaviare,Guaviare,31.0
11,Valledupar,Cesar,25.2
31,Mitu,Vaupes,43.8
9,Yopal,Casanare,40.6
14,Bogota,Cundinamarca,33.3
4,Barranquilla,Atlantico,8.8
21,Pasto,Narino,38.4
3,Arauca,Arauca,33.9
18,Riohacha,La Guajira,49.7
11,Valledupar,Cesar,39.6
2,Medellin,Antioquia,8.2
23,Mocoa,Putumayo,47.9
15,Inirida,Guainia,34.2
21,Pasto,Narino,45.1
30,Cali,Valle del Cauca,9.2
17,Neiva,Huila,8.1
28,Sincelejo,Sucre,46.7
5,Cartagena,Bolivar,25.8
19,Santa Marta,Magdalena,1.5
28,Sincelejo,Sucre,20.3
32,Puerto Carreno,Vichada,42.5
9,Yopal,Casanare,13.1
18,Riohacha,La Guajira,1.9
8,Florencia,Caqueta,37.1
32,Puerto Carreno,Vichada,26.7
22,Cucuta,Norte de Santander,36.4
11,Valledupar,Cesar,17.3
12,Quibdo,Choco,25.4
19,Santa Marta,Magdalena,24.0
13,Monteria,Cordoba,27.6
6,Tunja,Boyaca,5.2
21,Pasto,Narino,47.3
14,Bogota,Cundinamarca,43.8
1,Leticia,Amazonas,14.4
14,Bogota,Cundinamarca,11.9
19,Santa Marta,Magdalena,20.9
6,Tunja,Boyaca,22.9
23,Mocoa,Putumayo,6.8
